Category,VariableName,ExtractedValue,Notes
Multivariable MLR,mlr_logit_equation,L = 21.9002 – 0.0681×FHR – 0.1622×CervicalL – 0.7595×MGSD + 0.4103×TT – 0.1099×Progesterone – 0.0713×(sFlt-1:PlGF) + 0.0041×FHR×MGSD + 2.3995×M_age35–46yrs,p = e^L / (1 + e^L)
Model performance – MLR,mlr_auc,0.89,Area under ROC; reported for training data and consistent with overall performance
Model performance – MLR,mlr_accuracy,82.7,Overall accuracy %
Model performance – MLR,mlr_sensitivity_at_0_326,0.80,At probability threshold 0.326
Model performance – MLR,mlr_specificity_at_0_326,0.80,At probability threshold 0.326
Model performance – MLR,mlr_sensitivity_high_thresh,0.90,At threshold 0.67; specificity decreases to 0.57
Model performance – MLR,mlr_specificity_high_thresh,0.57,At threshold 0.67
Model performance – MLR,mlr_ppv,0.55,Positive predictive value
Model performance – MLR,mlr_npv,0.90,Negative predictive value
Model performance – RF,rf_accuracy,93.1,Overall accuracy %
Model performance – RF,rf_auc_training,0.99,Training set AUC
Model performance – RF,rf_auc_testing,0.968,Testing set AUC
Model performance – RF,rf_threshold,0.242,Probability threshold selected for RF
Model performance – RF,rf_sensitivity_at_0_242,1.0,On testing data
Model performance – RF,rf_specificity_at_0_242,0.80,On testing data
Model performance – RF,rf_ppv,0.88,Positive predictive value
Model performance – RF,rf_npv,1.0,Negative predictive value
Model performance – comparison,training_confusion_summary,"On training data, RF produced one additional false positive compared with MLR; otherwise similar performance",
Model performance – comparison,testing_confusion_summary,"On testing data, RF had one false positive and no false negatives; MLR had three false positives and two false negatives",
Risk of bias / limitations,limitations_sample_size,Relatively small dataset (118 participants); cross-validation and larger samples needed for generalisability,
Risk of bias / limitations,limitations_overfitting,Very high RF sensitivity and NPV may partly reflect small sample size despite tuning to reduce overfitting,
Study identifiers,study_id,Shaamash_2020,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Shaamash,
Study identifiers,publication_year,2020,
Study identifiers,journal,Journal of Ultrasound in Medicine,
Study identifiers,doi,10.1002/jum.15282,
Study identifiers,country,Egypt (Assiut College of Medicine),Inferred from author affiliation mentioned in article acknowledgments
Study identifiers,setting,Single-center hospital-based cohort of women with first-trimester threatened miscarriage,Prospective observational study
Study identifiers,study_design,Prospective observational cohort,Described as prospective observational study
Study identifiers,recruitment_period,Not clearly stated in excerpt,Recruitment dates not visible in available text
Study identifiers,funding_source,Not reported,
Population & eligibility,inclusion_criteria,Women with first-trimester threatened miscarriage (vaginal bleeding with a viable intrauterine pregnancy) between ≥6–12 weeks’ gestation,From Methods: 241 patients with threatened miscarriage (≥6–12 weeks) had a single clinical and US evaluation
Population & eligibility,exclusion_criteria,Not fully described in available text,Likely excluded non-viable or non-intrauterine pregnancies; details not visible in excerpt
Population & eligibility,gestational_age_range_weeks,≥6–12,From abstract (≥6–12 weeks’ gestation)
Population & eligibility,n_recruited,241,241 patients with threatened miscarriage recruited
Population & eligibility,n_completed,233,233 patients completed follow-up to 28 weeks or miscarriage
Population & eligibility,n_continued_28w,193,193 pregnancies continued up to 28 weeks’ gestation
Population & eligibility,n_miscarriage_28w,40,40 miscarried before 28 weeks (17.1%)
Population & eligibility,miscarriage_rate_percent,17.1,40 of 233 completed pregnancies miscarried
Outcomes,primary_outcome,Pregnancy continuation up to 28 weeks (yes/no),Objective: predict pregnancy continuation up to 28 weeks in first-trimester threatened miscarriage
Outcomes,outcome_definition_miscarriage,Miscarriage before 28 weeks’ gestation following index presentation with threatened miscarriage,As reported in abstract: 40 miscarried (17.1%) before 28 weeks
Clinical predictors,clinical_predictors_list,Bleeding severity (spotting/mild bleeding) and progesterone treatment,Abstract: spotting/mild bleeding episodes and progesterone treatment were the clinical predictors of fetal viability
Clinical predictors,bleeding_severity_predictor,Spotting/mild bleeding associated with higher chance of fetal viability compared with heavier bleeding,Summarized from conclusion that spotting/mild bleeding predicted viability
Clinical predictors,progesterone_treatment_predictor,Use of progesterone treatment identified as a predictor of fetal viability,From abstract/conclusions
Ultrasound predictors,us_predictors_list,"Embryonic/fetal heart rate (E/FHR), crown-rump length (CRL), gestational sac diameter (GSD), and a combined ultrasound triad (E/FHR + CRL + GSD)",From results/conclusions
Ultrasound predictors,efhr_best_single_predictor,Yes,E/FHR described as the best single ultrasound predictor of fetal viability
Ultrasound predictors,efhr_specificity_single_marker_percent,95.3,Specificity of E/FHR as single ultrasound predictor
Ultrasound predictors,efhr_ppv_single_marker_percent,97.2,Positive predictive value of E/FHR as single ultrasound predictor
Ultrasound predictors,triad_components,"E/FHR, crown-rump length (CRL), gestational sac diameter (GSD)",First-trimester ultrasound triad of fetal viability
Ultrasound predictors,triad_cutoff_efhr_bpm,>113,E/FHR >113 beats per minute used in triad
Ultrasound predictors,triad_cutoff_crl_mm,>19.9,CRL >19.9 mm used in triad
Ultrasound predictors,triad_cutoff_gsd_mm,>27.3,GSD >27.3 mm used in triad
Ultrasound predictors,triad_specificity_percent,98,Specificity of first-trimester ultrasound triad of fetal viability
Ultrasound predictors,triad_ppv_percent,99,Positive predictive value of first-trimester ultrasound triad of fetal viability
Interpretation & counseling,clinical_counseling_implications,"Presence of E/FHR >113 bpm or the full ultrasound triad after a single scan provides a simple, measurable and effective predictor of pregnancy continuation up to 28 weeks; may reduce need for repeated emergency follow-up scans.",From conclusions: triad can improve counseling and decrease repeated emergency follow-up scans but does not replace routine scheduled scans
Risk of bias,risk_of_bias_overall,Unclear to moderate,Prospective single-center cohort with complete follow-up reported for 233/241; detailed information on blinding and handling of missing data not visible in excerpt
